,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,lang
0,1505695678424842240,1505695678424842240,1647820798000.0,2022-03-20 23:59:58,+0000,,Belajar dari mandalika Tidak semua hal bisa diterima dengan logika.,in,[],[],1675292034,1675292034,garpulicious,✨,7,23,https://twitter.com/garpulicious/status/1505695678424842240,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
2,1505695642974228481,1505399549170700289,1647820790000.0,2022-03-20 23:59:50,+0000,,"@ngawur_post Tikungan 13 Mandalika membuat Marc Marquez terjatuh dan motor Alex Rins terbakar, ini menurut pendapat lesti dan billar.",in,[],[],421662236,421662236,adhimmhrdika,Adhiii ,7,23,https://twitter.com/adhimmhrdika/status/1505695642974228481,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'ngawur_post', 'name': 'hihang hoyeng', 'id': '1451199782605647890'}]",,,,,id
3,1505695638549266435,1505556468397129728,1647820789000.0,2022-03-20 23:59:49,+0000,,@eadala_o1 @kulitbumi TENGKYUUU SO MUCHHH PAK JOKOWI.. Acara MANDALIKA SUKSEESSSSS...   Kadal kejang kejang Pak @jokowi . SUKSESSS,in,[],[],1342428034628894720,1342428034628894720,FemmyManroe,|||||||Femmy 🌺🌾😘🇮🇩😘,7,23,https://twitter.com/FemmyManroe/status/1505695638549266435,[],[],0,,False,0,1,0,,Mandalika,,,,,,,"[{'screen_name': 'kulitbumi', 'name': 'kulit bumi', 'id': '981436209208680450'}]",,,,,id
4,1505695601031520261,1505695601031520261,1647820780000.0,2022-03-20 23:59:40,+0000,,"Rara Istiati Wulandari, Ungkap Penyebab Gangguan Hujan Deras saat MotoGP Mandalika  https://t.co/WQeOflIc2u",in,[],[],3319260420,3319260420,geloraco,GELORA NEWS,7,23,https://twitter.com/geloraco/status/1505695601031520261,['https://www.gelora.co/2022/03/rara-istiati-wulandari-ungkap-penyebab.html?m=1'],[],0,,False,3,8,0,,Mandalika,,,,,,,[],,,,,id
5,1505695522350596096,1505695522350596096,1647820761000.0,2022-03-20 23:59:21,+0000,,Salah satu yg terpenting bagaimana memelihara Circuit Mandalika jangan sampai seperti gedung2 bekas PON yg terbekalai krn gak keurus Pemda,in,[],[],162270980,162270980,dedensujana,Deden Sujana,7,23,https://twitter.com/dedensujana/status/1505695522350596096,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
6,1505695477185990657,1505406822492286976,1647820750000.0,2022-03-20 23:59:10,+0000,,"@CNNIndonesia Intinya banyak masyarakat Indonesia bangga dgn adanx sircuit Mandalika ,kluali masyarakat tertentu yg bisanya hanya berpikiran negatif",in,[],[],2473560890,2473560890,jkanest,jk anest,7,23,https://twitter.com/jkanest/status/1505695477185990657,[],[],0,,False,0,0,0,,Mandalika,,,,,,,"[{'screen_name': 'CNNIndonesia', 'name': 'CNN Indonesia', 'id': '17128975'}]",,,,,id
7,1505695435163598848,1505695435163598848,1647820740000.0,2022-03-20 23:59:00,+0000,,"Kalau saja almarhum Didi Kempot masih ada, pasti sekarang kita lagi dengerin lagu tentang patah hati di Mandalika..  Deny Caknan, your move, please..",in,[],[],1287925819755491328,1287925819755491328,Pak_Irv,Dr. Irv Kartawiria,7,23,https://twitter.com/Pak_Irv/status/1505695435163598848,[],[],0,,False,1,0,2,,Mandalika,,,,,,,[],,,,,id
8,1505695404708761602,1505492464580263937,1647820733000.0,2022-03-20 23:58:53,+0000,,"@SlevinSojiro @Belok_dong Mau efektif mau enggak... Acara akbar balapan sudah berjalan dengan suksesnya... Pengguna Pawang Puas, Rara mendunia... Kearifan lokal bukan hanya masalah untung - rugi.. Budaya ada pada rasa, nikmati saja pertunjukannya... Bravo Mandalika... Bravo Rara..",in,[],[],875628566,875628566,SriRedjeki2,Sri Redjeki 🇮🇩 💫,7,23,https://twitter.com/SriRedjeki2/status/1505695404708761602,[],[],0,,False,13,3,2,,Mandalika,,,,,,,"[{'screen_name': 'SlevinSojiro', 'name': 'Slevin', 'id': '938916131217084416'}, {'screen_name': 'Belok_dong', 'name': 'Black Melow', 'id': '1172676209995657216'}]",,,,,id
10,1505695381719445505,1505695381719445505,1647820728000.0,2022-03-20 23:58:48,+0000,,Allah Maha Besar. Di Mandalika Allah menunjukkan kuasanya. Mengabulkan doa dengan cara yang tidak kamu percaya. Ternyata Allah tidak hanya  mengabulkan doa kaummu saja.,in,[],[],1274945132,1274945132,cgtrisanjaya,#SemogaTenangJiwaMereka,7,23,https://twitter.com/cgtrisanjaya/status/1505695381719445505,[],[],0,,False,1,1,0,https://twitter.com/Hilmi28/status/1505514988995194883,Mandalika,,,,,,,[],,,,,id
11,1505695340648800256,1505695340648800256,1647820718000.0,2022-03-20 23:58:38,+0000,,Tahun depan minta bangun jalur kereta api pak gub. Biar ga macet je Mandalika,in,[],[],49383672,49383672,BiLLYKHAERUDIN,BiLLY KHAERUDIN,7,23,https://twitter.com/BiLLYKHAERUDIN/status/1505695340648800256,[],[],0,,False,5,0,1,https://twitter.com/bangzul_ntb/status/1505449296124350468,Mandalika,,,,,,,[],,,,,id
12,1505695324865990657,1505695324865990657,1647820714000.0,2022-03-20 23:58:34,+0000,,"Sebenernya pawang ujan mandalika bukan buat mengusir ujan, cuma buat liatin budaya aja gak sih wkwkwk Indonesia pride",in,[],[],394547483,394547483,thifaafaa,panggil saja mawar,7,23,https://twitter.com/thifaafaa/status/1505695324865990657,[],[],0,,False,0,0,0,,Mandalika,,,,,,,[],,,,,id
13,1505695296311160837,1505695296311160837,1647820707000.0,2022-03-20 23:58:27,+0000,,MotoGP 2022 Mandalika sukses. Kesempatan kuatkan brand pariwisata Indonesia  @erickthohir  #DenganETMerdekaBerdaulat  https://t.co/F9QTPVQ5wr,in,['denganetmerdekaberdaulat'],[],1466850188190908418,1466850188190908418,mahkota43990861,🇲🇨Rajawali🇲🇨,7,23,https://twitter.com/mahkota43990861/status/1505695296311160837,[],['https://pbs.twimg.com/media/FOVN4vfaIAMUmgl.jpg'],1,https://pbs.twimg.com/media/FOVN4vfaIAMUmgl.jpg,False,13,0,8,,Mandalika,,,,,,,[],,,,,id
14,1505695265373954048,1505695265373954048,1647820700000.0,2022-03-20 23:58:20,+0000,,"Momen Bangga Oliveira Persembahkan Juara MotoGP Mandalika untuk Risman  https://t.co/SB3US9KHUq  Dari semua berita selama MotoGP Mandalika, berita ini cocok nih jadi gong buat pemerintah &amp; panitia penyelenggara. Gol buat dorong pariwisata di Lombok langsung divalidasi juaranya 😊",in,[],[],17666340,17666340,qronoz,Daniel Giovanni Latumahina,7,23,https://twitter.com/qronoz/status/1505695265373954048,['https://cnn.id/773926'],[],0,,False,1,1,2,,Mandalika,,,,,,,[],,,,,id
15,1505695248324128771,1505551462918623234,1647820696000.0,2022-03-20 23:58:16,+0000,,@lucywiryono Setuju aspal ulang total biar menyatu satu full track biar ga belang juga juga untuk image mandalika jangka panjang syukur2 lebih dari 10tahun kontrak nya nanti.,in,[],[],1028798073302999040,1028798073302999040,ahasyari_inet,Agung Hasyari,7,23,https://twitter.com/ahasyari_inet/status/1505695248324128771,[],[],0,,False,1,1,0,,Mandalika,,,,,,,"[{'screen_name': 'lucywiryono', 'name': 'Lucy Wiryono', 'id': '59108817'}]",,,,,id
16,1505695246885482500,1505695246885482500,1647820695000.0,2022-03-20 23:58:15,+0000,,Terkuak! Ternyata ada Tangan Dingin Gubernur PKS Dibalik Kesuksesan Ajang WSBK MottoGP Mandalika.,in,[],[],2905814730,2905814730,abu_waras,Lambe Waras,7,23,https://twitter.com/abu_waras/status/1505695246885482500,[],[],0,,False,61,4,9,https://twitter.com/aboebakar15/status/1505476450597498880,Mandalika,,,,,,,[],,,,,id
17,1505695236768800771,1505482724601176064,1647820693000.0,2022-03-20 23:58:13,+0000,,@prassetyoAD @MotoGP Petir bukan sembarang petir Petir menyambar race mandalika. .   Assalaumalaikum kakak,in,[],[],22885047,22885047,andriyand__,Yand,7,23,https://twitter.com/andriyand__/status/1505695236768800771,[],[],0,,False,1,0,1,,Mandalika,,,,,,,"[{'screen_name': 'prassetyoAD', 'name': ',kcl', 'id': '1079908658'}, {'screen_name': 'MotoGP', 'name': 'MotoGP™🏁', 'id': '14082692'}]",,,,,id
18,1505695207228002304,1505695207228002304,1647820686000.0,2022-03-20 23:58:06,+0000,,"Seharusnya, Mba Rara sang pawang hujan sirkuit mandalika di undang ke Santiago Bernabéu Agar tidak terjadi 'hujan gol'.   ViscaBarca, ViscaCatalunya❤💙 #ElClasico  #WeAreBack",in,"['elclasico', 'weareback']",[],1118170159619776513,1118170159619776513,imammustofaaja,bukan imam masjid,7,23,https://twitter.com/imammustofaaja/status/1505695207228002304,[],[],0,,False,0,0,0,https://twitter.com/FCBarcelona_es/status/1505664008510132232,Mandalika,,,,,,,[],,,,,id
19,1505695201829871618,1505693173741281281,1647820685000.0,2022-03-20 23:58:05,+0000,,"@RonaldLampard8 Kok gak ada berita gregetnya ya Om, Suksesnya Gelaran MotoGP Mandalika diikuti Matinya Kadrun secara berjamaah, cuma Kadrun stres semua...😷",in,[],[],771662663466094592,771662663466094592,RoellyRosuli,Roelly Rosuli,7,23,https://twitter.com/RoellyRosuli/status/1505695201829871618,[],[],0,,False,2,1,1,,Mandalika,,,,,,,"[{'screen_name': 'RonaldLampard8', 'name': 'ℱ𝓡Ãℕ𝓚', 'id': '2384696084'}]",,,,,id
21,1505695146154754050,1505695146154754050,1647820671000.0,2022-03-20 23:57:51,+0000,,KTM sebelum menang gp mandalika 🤣🤣,in,[],[],1183886600784117760,1183886600784117760,irfanaridy,The Air Bender ♐,7,23,https://twitter.com/irfanaridy/status/1505695146154754050,[],[],0,,False,0,0,0,https://twitter.com/renzoalexand/status/1505467394797764609,Mandalika,,,,,,,[],,,,,id
