,date,tweet,username,tweet_clean
0,2022-03-20 23:59:58,Belajar dari mandalika Tidak semua hal bisa diterima dengan logika.,garpulicious,ajar dari mandalika tidak semua bisa terima dengan logika
2,2022-03-20 23:59:50,"@ngawur_post Tikungan 13 Mandalika membuat Marc Marquez terjatuh dan motor Alex Rins terbakar, ini menurut pendapat lesti dan billar.",adhimmhrdika,tikung mandalika buat marc marquez jatuh motor alex rins bakar turut dapat lesti billar
3,2022-03-20 23:59:49,@eadala_o1 @kulitbumi TENGKYUUU SO MUCHHH PAK JOKOWI.. Acara MANDALIKA SUKSEESSSSS...   Kadal kejang kejang Pak @jokowi . SUKSESSS,FemmyManroe,tengkyuuu muchhh jokowi acara mandalika sukseesssss kadal kejang kejang suksesss
4,2022-03-20 23:59:40,"Rara Istiati Wulandari, Ungkap Penyebab Gangguan Hujan Deras saat MotoGP Mandalika  https://t.co/WQeOflIc2u",geloraco,rara istiati wulandari ungkap sebab ganggu hujan deras saat motogp mandalika
5,2022-03-20 23:59:21,Salah satu yg terpenting bagaimana memelihara Circuit Mandalika jangan sampai seperti gedung2 bekas PON yg terbekalai krn gak keurus Pemda,dedensujana,salah satu penting bagaimana pelihara circuit mandalika jangan sampai seperti gedung bekas terbekalai urus pemda
6,2022-03-20 23:59:10,"@CNNIndonesia Intinya banyak masyarakat Indonesia bangga dgn adanx sircuit Mandalika ,kluali masyarakat tertentu yg bisanya hanya berpikiran negatif",jkanest,inti banyak masyarakat indonesia bangga adanx sircuit mandalika kluali masyarakat tentu bisa hanya pikir negatif
7,2022-03-20 23:59:00,"Kalau saja almarhum Didi Kempot masih ada, pasti sekarang kita lagi dengerin lagu tentang patah hati di Mandalika..  Deny Caknan, your move, please..",Pak_Irv,kalau saja almarhum didi kempot masih pasti sekarang kita lagi dengerin lagu tentang patah hati mandalika deny caknan your move please
8,2022-03-20 23:58:53,"@SlevinSojiro @Belok_dong Mau efektif mau enggak... Acara akbar balapan sudah berjalan dengan suksesnya... Pengguna Pawang Puas, Rara mendunia... Kearifan lokal bukan hanya masalah untung - rugi.. Budaya ada pada rasa, nikmati saja pertunjukannya... Bravo Mandalika... Bravo Rara..",SriRedjeki2,efektif enggak acara akbar balap sudah jalan dengan sukses guna pawang puas rara dunia arif lokal bukan hanya masalah untung rugi budaya pada rasa nikmat saja tunjuk bravo mandalika bravo rara
10,2022-03-20 23:58:48,Allah Maha Besar. Di Mandalika Allah menunjukkan kuasanya. Mengabulkan doa dengan cara yang tidak kamu percaya. Ternyata Allah tidak hanya  mengabulkan doa kaummu saja.,cgtrisanjaya,allah maha besar mandalika allah tunjuk kuasa kabul dengan cara yang tidak kamu percaya nyata allah tidak hanya kabul kaum saja
11,2022-03-20 23:58:38,Tahun depan minta bangun jalur kereta api pak gub. Biar ga macet je Mandalika,BiLLYKHAERUDIN,tahun depan minta bangun jalur kereta biar macet mandalika
